Model selection results for subset: e35d46eb6c00fb03a487cc49d54c6526
Subset alignment stored here: .\analysis\phylofiles\e35d46eb6c00fb03a487cc49d54c6526.phy
This subset contains the following data_blocks: Gene1_pos2, Gene1_pos1
Number of columns in subset: 1522
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -18050.178      | 36120.5          | 36120.355       | 36173.633      
GTR+I+G         | 10              | -18054.045      | 36128.234        | 36128.09        | 36181.367      
HKY+I+G+X       | 6               | -18066.19       | 36144.434        | 36144.38        | 36176.344      
TRN+I+G+X       | 7               | -18066.16       | 36146.395        | 36146.32        | 36183.613      
SYM+I+G         | 7               | -18074.363      | 36162.8          | 36162.727       | 36200.02       
TRN+I+G         | 7               | -18075.314      | 36164.703        | 36164.63        | 36201.92       
HKY+I+G         | 6               | -18077.121      | 36166.297        | 36166.242       | 36198.207      
K80+I+G         | 3               | -18113.23       | 36232.477        | 36232.46        | 36248.445      
TRNEF+I+G       | 4               | -18113.08       | 36234.188        | 36234.16        | 36255.473      
GTR+G+X         | 9               | -18167.643      | 36353.402        | 36353.285       | 36401.234      
GTR+G           | 9               | -18173.168      | 36364.453        | 36364.336       | 36412.285      
HKY+G+X         | 5               | -18184.63       | 36379.3          | 36379.26        | 36405.902      
TRN+G+X         | 6               | -18184.531      | 36381.117        | 36381.062       | 36413.027      
TRN+G           | 6               | -18193.938      | 36399.93         | 36399.875       | 36431.84       
HKY+G           | 5               | -18196.13       | 36402.3          | 36402.26        | 36428.902      
SYM+G           | 6               | -18197.303      | 36406.66         | 36406.605       | 36438.57       
K80+G           | 2               | -18234.152      | 36472.312        | 36472.305       | 36482.96       
TRNEF+G         | 3               | -18233.836      | 36473.688        | 36473.67        | 36489.656      
GTR+I+X         | 9               | -19140.115      | 38298.348        | 38298.23        | 38346.18       
GTR+I           | 9               | -19140.182      | 38298.48         | 38298.363       | 38346.312      
TRN+I+X         | 6               | -19162.23       | 38336.516        | 38336.46        | 38368.426      
TRN+I           | 6               | -19163.72       | 38339.496        | 38339.44        | 38371.406      
SYM+I           | 6               | -19166.143      | 38344.34         | 38344.285       | 38376.25       
HKY+I+X         | 5               | -19177.775      | 38365.59         | 38365.55        | 38392.19       
HKY+I           | 5               | -19197.828      | 38405.695        | 38405.656       | 38432.297      
TRNEF+I         | 3               | -19202.033      | 38410.082        | 38410.066       | 38426.05       
K80+I           | 2               | -19215.332      | 38434.67         | 38434.664       | 38445.32       
JC+I+G          | 2               | -19407.787      | 38819.582        | 38819.574       | 38830.23       
JC+G            | 1               | -19527.18       | 39056.363        | 39056.36        | 39061.688      
JC+I            | 1               | -20485.367      | 40972.74         | 40972.734       | 40978.062      
GTR+X           | 8               | -21330.475      | 42677.043        | 42676.95        | 42719.57       
GTR             | 8               | -21336.6        | 42689.293        | 42689.2         | 42731.82       
SYM             | 5               | -21340.65       | 42691.34         | 42691.3         | 42717.94       
TRN+X           | 5               | -21365.36       | 42740.758        | 42740.72        | 42767.36       
TRN             | 5               | -21367.639      | 42745.316        | 42745.277       | 42771.918      
HKY+X           | 4               | -21371.666      | 42751.36         | 42751.332       | 42772.645      
TRNEF           | 2               | -21385.72       | 42775.45         | 42775.44        | 42786.098      
HKY             | 4               | -21385.146      | 42778.32         | 42778.293       | 42799.605      
K80             | 1               | -21389.164      | 42780.332        | 42780.33        | 42785.656      
JC              | 0               | -22642.416      | 45284.832        | 45284.832       | 45284.832      
