INFO     | 2025-06-23 12:41:43,776 | config     | Loading configuration at '.\partition_finder.cfg'
INFO     | 2025-06-23 12:41:43,785 | config     | Setting 'alignment' to 'A_803-2745.phylip'
INFO     | 2025-06-23 12:41:43,785 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2025-06-23 12:41:43,786 | parser     | You set 'models' to: GTR, GTR+G, GTR+I+G
INFO     | 2025-06-23 12:41:43,819 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2025-06-23 12:41:43,819 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2025-06-23 12:41:43,819 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2025-06-23 12:41:43,822 | config     | Setting 'search' to 'greedy'
INFO     | 2025-06-23 12:41:43,822 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2025-06-23 12:41:43,823 | config     | Looking for alignment file '.\A_803-2745.phylip'...
INFO     | 2025-06-23 12:41:43,823 | threadpool | Using 16 cpus
INFO     | 2025-06-23 12:41:43,825 | analysis   | Beginning Analysis
INFO     | 2025-06-23 12:41:43,841 | alignment  | Reading alignment file '.\A_803-2745.phylip'
ERROR    | 2025-06-23 12:41:43,842 | alignment  | Line 2: Line should be species and bases separated by whitespace
ERROR    | 2025-06-23 12:41:43,842 | main       | Failed to run. See previous errors.
INFO     | 2025-06-23 12:42:39,551 | config     | Loading configuration at '.\partition_finder.cfg'
INFO     | 2025-06-23 12:42:39,553 | config     | Setting 'alignment' to 'A_803-2745.phylip'
INFO     | 2025-06-23 12:42:39,553 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2025-06-23 12:42:39,555 | parser     | You set 'models' to: GTR, GTR+G, GTR+I+G
INFO     | 2025-06-23 12:42:39,565 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2025-06-23 12:42:39,565 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2025-06-23 12:42:39,566 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2025-06-23 12:42:39,568 | config     | Setting 'search' to 'greedy'
INFO     | 2025-06-23 12:42:39,569 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2025-06-23 12:42:39,569 | config     | Looking for alignment file '.\A_803-2745.phylip'...
INFO     | 2025-06-23 12:42:39,569 | threadpool | Using 16 cpus
INFO     | 2025-06-23 12:42:39,569 | analysis   | Beginning Analysis
INFO     | 2025-06-23 12:42:39,595 | alignment  | Reading alignment file '.\A_803-2745.phylip'
ERROR    | 2025-06-23 12:42:39,595 | alignment  | Line 2: Line should be species and bases separated by whitespace
ERROR    | 2025-06-23 12:42:39,595 | main       | Failed to run. See previous errors.
INFO     | 2025-06-23 12:43:38,003 | config     | Loading configuration at '.\partition_finder.cfg'
INFO     | 2025-06-23 12:43:38,013 | config     | Setting 'alignment' to 'A_803-2745.fasta'
INFO     | 2025-06-23 12:43:38,013 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2025-06-23 12:43:38,013 | parser     | You set 'models' to: GTR, GTR+G, GTR+I+G
INFO     | 2025-06-23 12:43:38,025 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2025-06-23 12:43:38,026 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2025-06-23 12:43:38,026 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2025-06-23 12:43:38,026 | config     | Setting 'search' to 'greedy'
INFO     | 2025-06-23 12:43:38,026 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2025-06-23 12:43:38,028 | config     | Looking for alignment file '.\A_803-2745.fasta'...
INFO     | 2025-06-23 12:43:38,029 | threadpool | Using 16 cpus
INFO     | 2025-06-23 12:43:38,029 | analysis   | Beginning Analysis
INFO     | 2025-06-23 12:43:38,052 | alignment  | Reading alignment file '.\A_803-2745.fasta'
ERROR    | 2025-06-23 12:43:38,053 | alignment  | Line 1: Failed to find the Phyml header that specifies the species count, and sequence length
ERROR    | 2025-06-23 12:43:38,055 | main       | Failed to run. See previous errors.
INFO     | 2025-06-23 12:44:53,259 | config     | Loading configuration at '.\partition_finder.cfg'
INFO     | 2025-06-23 12:44:53,262 | config     | Setting 'alignment' to 'A_803-2745.phylip'
INFO     | 2025-06-23 12:44:53,263 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2025-06-23 12:44:53,263 | parser     | You set 'models' to: GTR, GTR+G, GTR+I+G
INFO     | 2025-06-23 12:44:53,273 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2025-06-23 12:44:53,273 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2025-06-23 12:44:53,275 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2025-06-23 12:44:53,276 | config     | Setting 'search' to 'greedy'
