Model selection results for subset: b842d3661ce00eedc06842cb161ed529
Subset alignment stored here: .\analysis\phylofiles\b842d3661ce00eedc06842cb161ed529.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 637
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -17269.238      | 34558.83         | 34558.477       | 34603.043      
GTR+I+G         | 10              | -17277.713      | 34575.777        | 34575.426       | 34619.992      
GTR+G+X         | 9               | -17280.143      | 34578.57         | 34578.285       | 34618.395      
GTR+G           | 9               | -17287.033      | 34592.35         | 34592.066       | 34632.176      
HKY+I+G+X       | 6               | -17332.268      | 34676.668        | 34676.535       | 34703.277      
TRN+I+G+X       | 7               | -17332.26       | 34678.7          | 34678.52        | 34709.72       
HKY+G+X         | 5               | -17345.205      | 34700.504        | 34700.41        | 34722.695      
TRN+G+X         | 6               | -17345.074      | 34702.28         | 34702.15        | 34728.89       
HKY+I+G         | 6               | -17375.957      | 34764.047        | 34763.914       | 34790.656      
TRN+I+G         | 7               | -17375.219      | 34764.617        | 34764.438       | 34795.637      
TRN+G           | 6               | -17386.72       | 34785.574        | 34785.44        | 34812.184      
HKY+G           | 5               | -17388.318      | 34786.73         | 34786.637       | 34808.92       
SYM+I+G         | 7               | -17454.268      | 34922.715        | 34922.535       | 34953.734      
SYM+G           | 6               | -17464.389      | 34940.91         | 34940.777       | 34967.52       
TRNEF+I+G       | 4               | -17466.645      | 34941.35         | 34941.29        | 34959.117      
GTR+I+X         | 9               | -17467.635      | 34953.555        | 34953.27        | 34993.38       
K80+I+G         | 3               | -17474.846      | 34955.73         | 34955.69        | 34969.062      
TRNEF+G         | 3               | -17476.508      | 34959.055        | 34959.016       | 34972.387      
GTR+I           | 9               | -17475.123      | 34968.53         | 34968.246       | 35008.355      
K80+G           | 2               | -17487.152      | 34978.324        | 34978.305       | 34987.22       
GTR+X           | 8               | -17540.861      | 35097.953        | 35097.723       | 35133.375      
GTR             | 8               | -17542.984      | 35102.2          | 35101.97        | 35137.62       
TRN+I+X         | 6               | -17546.072      | 35104.277        | 35104.145       | 35130.887      
HKY+I+X         | 5               | -17547.145      | 35104.383        | 35104.29        | 35126.574      
HKY+I           | 5               | -17571.67       | 35153.434        | 35153.34        | 35175.625      
TRN+I           | 6               | -17571.65       | 35155.434        | 35155.3         | 35182.043      
HKY+X           | 4               | -17638.213      | 35284.49         | 35284.426       | 35302.254      
TRN+X           | 5               | -17638.041      | 35286.176        | 35286.082       | 35308.367      
HKY             | 4               | -17653.912      | 35315.887        | 35315.824       | 35333.652      
TRN             | 5               | -17653.383      | 35316.86         | 35316.766       | 35339.05       
SYM+I           | 6               | -17722.168      | 35456.47         | 35456.336       | 35483.08       
K80+I           | 2               | -17754.844      | 35513.707        | 35513.688       | 35522.6        
TRNEF+I         | 3               | -17754.31       | 35514.66         | 35514.62        | 35527.992      
SYM             | 5               | -17826.535      | 35663.164        | 35663.07        | 35685.355      
TRNEF           | 2               | -17864.018      | 35732.055        | 35732.035       | 35740.95       
K80             | 1               | -17865.725      | 35733.457        | 35733.45        | 35737.906      
JC+I+G          | 2               | -19003.01       | 38010.04         | 38010.02        | 38018.934      
JC+G            | 1               | -19016.824      | 38035.656        | 38035.65        | 38040.105      
JC+I            | 1               | -19220.004      | 38442.016        | 38442.008       | 38446.465      
JC              | 0               | -19319.377      | 38638.754        | 38638.754       | 38638.754      
