Model selection results for subset: dc44eacaf5351ec3a2619d4ec8b854fe
Subset alignment stored here: .\analysis\phylofiles\dc44eacaf5351ec3a2619d4ec8b854fe.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 714
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G+X         | 9               | -11617.783      | 23253.822        | 23253.566       | 23294.705      
GTR+I+G+X       | 10              | -11617.782      | 23255.877        | 23255.564       | 23301.273      
GTR+G           | 9               | -11622.248      | 23262.752        | 23262.496       | 23303.635      
GTR+I+G         | 10              | -11622.239      | 23264.791        | 23264.479       | 23310.188      
HKY+G+X         | 5               | -11657.096      | 23324.275        | 23324.191       | 23347.045      
HKY+I+G+X       | 6               | -11656.985      | 23326.09         | 23325.97        | 23353.396      
TRN+G+X         | 6               | -11657.086      | 23326.291        | 23326.172       | 23353.598      
TRN+I+G+X       | 7               | -11656.997      | 23328.152        | 23327.994       | 23359.99       
HKY+G           | 5               | -11681.723      | 23373.53         | 23373.445       | 23396.299      
TRN+G           | 6               | -11680.718      | 23373.555        | 23373.436       | 23400.861      
HKY+I+G         | 6               | -11681.718      | 23375.555        | 23375.436       | 23402.861      
TRN+I+G         | 7               | -11680.706      | 23375.57         | 23375.412       | 23407.408      
GTR+I+X         | 9               | -11699.709      | 23417.674        | 23417.418       | 23458.557      
GTR+I           | 9               | -11710.145      | 23438.545        | 23438.29        | 23479.428      
SYM+G           | 6               | -11723.747      | 23459.613        | 23459.494       | 23486.92       
SYM+I+G         | 7               | -11723.312      | 23460.781        | 23460.623       | 23492.62       
TRNEF+G         | 3               | -11731.64       | 23469.312        | 23469.28        | 23482.992      
TRNEF+I+G       | 4               | -11731.152      | 23470.361        | 23470.305       | 23488.588      
GTR+X           | 8               | -11728.083      | 23472.371        | 23472.166       | 23508.732      
GTR             | 8               | -11733.069      | 23482.344        | 23482.139       | 23518.705      
HKY+I+X         | 5               | -11736.706      | 23483.496        | 23483.412       | 23506.266      
TRN+I+X         | 6               | -11736.117      | 23484.354        | 23484.234       | 23511.66       
K80+I+G         | 3               | -11744.473      | 23494.979        | 23494.945       | 23508.658      
K80+G           | 2               | -11745.677      | 23495.371        | 23495.354       | 23504.496      
TRN+I           | 6               | -11763.806      | 23539.73         | 23539.611       | 23567.037      
HKY+I           | 5               | -11767.719      | 23545.521        | 23545.438       | 23568.291      
HKY+X           | 4               | -11775.992      | 23560.041        | 23559.984       | 23578.268      
TRN+X           | 5               | -11775.948      | 23561.98         | 23561.896       | 23584.75       
TRN             | 5               | -11792.986      | 23596.057        | 23595.973       | 23618.826      
HKY             | 4               | -11795.429      | 23598.914        | 23598.857       | 23617.14       
SYM+I           | 6               | -11809.563      | 23631.246        | 23631.127       | 23658.553      
TRNEF+I         | 3               | -11819.729      | 23645.49         | 23645.457       | 23659.17       
K80+I           | 2               | -11829.124      | 23662.266        | 23662.248       | 23671.39       
SYM             | 5               | -11865.129      | 23740.342        | 23740.258       | 23763.111      
TRNEF           | 2               | -11878.907      | 23761.832        | 23761.814       | 23770.957      
K80             | 1               | -11895.636      | 23793.277        | 23793.271       | 23797.842      
JC+I+G          | 2               | -13099.881      | 26203.78         | 26203.762       | 26212.904      
JC+G            | 1               | -13101.703      | 26205.412        | 26205.406       | 26209.977      
JC+I            | 1               | -13166.065      | 26334.137        | 26334.13        | 26338.701      
JC              | 0               | -13224.926      | 26449.852        | 26449.852       | 26449.852      
