Model selection results for subset: 140e7a7c2347db0b7c39b65cd91a0309
Subset alignment stored here: .\analysis\phylofiles\140e7a7c2347db0b7c39b65cd91a0309.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 760
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -50215.96       | 100452.22        | 100451.92       | 100498.26      
GTR+I+G         | 10              | -50225.516      | 100471.33        | 100471.03       | 100517.37      
GTR+G+X         | 9               | -50250.9        | 100520.04        | 100519.8        | 100561.5       
GTR+G           | 9               | -50255.8        | 100529.84        | 100529.6        | 100571.305     
HKY+I+G+X       | 6               | -50402.4        | 100816.91        | 100816.8        | 100844.59      
TRN+I+G+X       | 7               | -50402.402      | 100818.95        | 100818.805      | 100851.234     
TRN+G+X         | 6               | -50443.676      | 100899.46        | 100899.35       | 100927.15      
HKY+G+X         | 5               | -50444.715      | 100899.51        | 100899.43       | 100922.59      
HKY+I+G         | 6               | -50476.566      | 100965.24        | 100965.13       | 100992.93      
TRN+I+G         | 7               | -50476.566      | 100967.28        | 100967.13       | 100999.56      
HKY+G           | 5               | -50511.43       | 101032.94        | 101032.86       | 101056.02      
TRN+G           | 6               | -50510.543      | 101033.195       | 101033.086      | 101060.88      
SYM+I+G         | 7               | -50553.86       | 101121.87        | 101121.72       | 101154.15      
SYM+G           | 6               | -50589.383      | 101190.875       | 101190.766      | 101218.56      
TRNEF+I+G       | 4               | -50615.336      | 101238.73        | 101238.67       | 101257.2       
TRNEF+G         | 3               | -50649.637      | 101305.305       | 101305.27       | 101319.17      
K80+I+G         | 3               | -50674.395      | 101354.82        | 101354.79       | 101368.69      
K80+G           | 2               | -50726.035      | 101456.086       | 101456.07       | 101465.336     
GTR+I+X         | 9               | -50799.203      | 101616.65        | 101616.41       | 101658.11      
GTR+I           | 9               | -50806.676      | 101631.59        | 101631.35       | 101673.055     
GTR+X           | 8               | -50914.586      | 101845.37        | 101845.17       | 101882.24      
GTR             | 8               | -50917.09       | 101850.375       | 101850.18       | 101887.25      
TRN+I+X         | 6               | -51016.844      | 102045.8         | 102045.69       | 102073.484     
HKY+I+X         | 5               | -51018.055      | 102046.19        | 102046.11       | 102069.27      
TRN+I           | 6               | -51058.535      | 102129.18        | 102129.07       | 102156.87      
HKY+I           | 5               | -51060.363      | 102130.805       | 102130.73       | 102153.89      
TRN+X           | 5               | -51155.2        | 102320.48        | 102320.4        | 102343.56      
HKY+X           | 4               | -51160.215      | 102328.484       | 102328.43       | 102346.96      
TRN             | 5               | -51181.633      | 102373.34        | 102373.266      | 102396.43      
HKY             | 4               | -51190.43       | 102388.914       | 102388.86       | 102407.39      
SYM+I           | 6               | -51312.43       | 102636.97        | 102636.86       | 102664.66      
TRNEF+I         | 3               | -51409.645      | 102825.32        | 102825.29       | 102839.19      
SYM             | 5               | -51474.9        | 102959.875       | 102959.8        | 102982.96      
K80+I           | 2               | -51507.23       | 103018.48        | 103018.46       | 103027.73      
TRNEF           | 2               | -51574.85       | 103153.72        | 103153.7        | 103162.97      
K80             | 1               | -51720.426      | 103442.86        | 103442.85       | 103447.484     
JC+I+G          | 2               | -58193.516      | 116391.05        | 116391.03       | 116400.3       
JC+G            | 1               | -58246.344      | 116494.695       | 116494.69       | 116499.32      
JC+I            | 1               | -58942.688      | 117887.38        | 117887.375      | 117892.01      
JC              | 0               | -59147.273      | 118294.55        | 118294.55       | 118294.55      
