INFO     | 2025-06-23 13:14:44,553 | config     | Loading configuration at '.\partition_finder.cfg'
INFO     | 2025-06-23 13:14:44,562 | config     | Setting 'alignment' to 'O_637-2783.phy'
INFO     | 2025-06-23 13:14:44,562 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2025-06-23 13:14:44,563 | parser     | You set 'models' to: beast
INFO     | 2025-06-23 13:14:44,578 | model_load | This analysis will use the following 40 models of molecular evolution
INFO     | 2025-06-23 13:14:44,578 | model_load | JC, K80, TRNEF, SYM, HKY, TRN, GTR, HKY+X, TRN+X, GTR+X, JC+G, K80+G, TRNEF+G, SYM+G, HKY+G, TRN+G, GTR+G, HKY+G+X, TRN+G+X, GTR+G+X, JC+I, K80+I, TRNEF+I, SYM+I, HKY+I, TRN+I, GTR+I, HKY+I+X, TRN+I+X, GTR+I+X, JC+I+G, K80+I+G, TRNEF+I+G, SYM+I+G, HKY+I+G, TRN+I+G, GTR+I+G, HKY+I+G+X, TRN+I+G+X, GTR+I+G+X
INFO     | 2025-06-23 13:14:44,578 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2025-06-23 13:14:44,579 | config     | Setting 'search' to 'greedy'
INFO     | 2025-06-23 13:14:44,581 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2025-06-23 13:14:44,581 | config     | Looking for alignment file '.\O_637-2783.phy'...
INFO     | 2025-06-23 13:14:44,581 | threadpool | Using 16 cpus
INFO     | 2025-06-23 13:14:44,582 | analysis   | Beginning Analysis
INFO     | 2025-06-23 13:14:44,589 | alignment  | Reading alignment file '.\O_637-2783.phy'
INFO     | 2025-06-23 13:14:44,655 | analysis   | Starting tree will be estimated from the data.
INFO     | 2025-06-23 13:14:44,657 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for .\analysis\start_tree\filtered_source.phy
INFO     | 2025-06-23 13:14:44,657 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2025-06-23 13:15:17,487 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2025-06-23 13:15:37,854 | raxml      | ML topology estimation finished
INFO     | 2025-06-23 13:15:37,855 | analysis_m | Performing Greedy Analysis
INFO     | 2025-06-23 13:15:37,855 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2025-06-23 13:24:32,585 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2025-06-23 13:32:02,460 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2025-06-23 13:42:48,611 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2025-06-23 13:42:48,614 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2025-06-23 13:42:48,614 | analysis_m |       Analysing 3 new subset pairs
INFO     | 2025-06-23 13:54:12,753 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2025-06-23 14:08:04,568 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2025-06-23 14:20:32,934 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2025-06-23 14:20:32,936 | analysis_m |       Finding the best partitioning scheme
INFO     | 2025-06-23 14:20:32,937 | analysis_m |       Best scheme combines subsets: 'Gene1_pos2' and 'Gene1_pos1'
INFO     | 2025-06-23 14:20:32,937 | analysis_m |       The best scheme improves the aicc score by 38.58 to 147765.7
INFO     | 2025-06-23 14:20:32,938 | analysis_m |    ***Greedy algorithm step 2***
INFO     | 2025-06-23 14:20:32,938 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2025-06-23 14:37:44,650 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2025-06-23 14:37:44,650 | analysis_m |       Finding the best partitioning scheme
INFO     | 2025-06-23 14:37:44,651 | analysis_m |       Found no schemes that improve the score, stopping
INFO     | 2025-06-23 14:37:44,651 | analysis_m |    Greedy algorithm finished after 2 steps
INFO     | 2025-06-23 14:37:44,651 | analysis_m |    Best scoring scheme is scheme step_1, with aicc score of 147765.673
INFO     | 2025-06-23 14:37:44,651 | model_util |    Information on best scheme is here: .\analysis\best_scheme.txt
INFO     | 2025-06-23 14:37:44,653 | model_util |    
INFO     | 2025-06-23 14:37:44,654 | model_util |    
INFO     | 2025-06-23 14:37:44,654 | model_util |    *Citations for this analysis*
INFO     | 2025-06-23 14:37:44,654 | model_util |    -----------------------------
INFO     | 2025-06-23 14:37:44,654 | model_util |    
INFO     | 2025-06-23 14:37:44,654 | model_util |    If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2025-06-23 14:37:44,654 | model_util |    
INFO     | 2025-06-23 14:37:44,654 | model_util |    For the version of PartitionFinder you used, please cite:
