Model selection results for subset: d678fce6cf11fbd929754d54243a1ff8
Subset alignment stored here: .\analysis\phylofiles\d678fce6cf11fbd929754d54243a1ff8.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 685
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -8626.985       | 17274.297        | 17273.97        | 17319.266      
GTR+I+G         | 10              | -8631.483       | 17283.293        | 17282.967       | 17328.262      
SYM+I+G         | 7               | -8649.084       | 17312.334        | 17312.168       | 17343.873      
TRN+I+G+X       | 7               | -8650.536       | 17315.238        | 17315.072       | 17346.777      
HKY+I+G+X       | 6               | -8656.448       | 17325.02         | 17324.896       | 17352.072      
TRN+I+G         | 7               | -8658.846       | 17331.857        | 17331.691       | 17363.396      
K80+I+G         | 3               | -8671.69        | 17349.416        | 17349.38        | 17362.969      
TRNEF+I+G       | 4               | -8671.6045      | 17351.268        | 17351.209       | 17369.326      
HKY+I+G         | 6               | -8683.939       | 17380.002        | 17379.879       | 17407.055      
GTR+G+X         | 9               | -8681.27        | 17380.807        | 17380.54        | 17421.305      
GTR+G           | 9               | -8685.205       | 17388.678        | 17388.41        | 17429.176      
TRN+G+X         | 6               | -8705.688       | 17423.5          | 17423.377       | 17450.553      
SYM+G           | 6               | -8711.494       | 17435.111        | 17434.988       | 17462.164      
TRN+G           | 6               | -8712.631       | 17437.385        | 17437.262       | 17464.438      
HKY+G+X         | 5               | -8722.789       | 17455.666        | 17455.578       | 17478.225      
TRNEF+G         | 3               | -8733.969       | 17473.973        | 17473.938       | 17487.525      
K80+G           | 2               | -8738.808       | 17481.633        | 17481.615       | 17490.674      
HKY+G           | 5               | -8762.786       | 17535.66         | 17535.572       | 17558.219      
GTR+I+X         | 9               | -9120.879       | 18260.025        | 18259.758       | 18300.523      
GTR+I           | 9               | -9121.544       | 18261.355        | 18261.088       | 18301.854      
TRN+I+X         | 6               | -9143.823       | 18299.77         | 18299.646       | 18326.822      
TRN+I           | 6               | -9146.813       | 18305.75         | 18305.627       | 18332.803      
SYM+I           | 6               | -9150.247       | 18312.617        | 18312.494       | 18339.67       
TRNEF+I         | 3               | -9173.688       | 18353.412        | 18353.377       | 18366.965      
HKY+I+X         | 5               | -9186.8955      | 18383.879        | 18383.791       | 18406.438      
K80+I           | 2               | -9196.583       | 18397.184        | 18397.166       | 18406.225      
HKY+I           | 5               | -9244.17        | 18498.428        | 18498.34        | 18520.986      
JC+I+G          | 2               | -9270.298       | 18544.613        | 18544.596       | 18553.654      
JC+G            | 1               | -9333.338       | 18668.682        | 18668.676       | 18673.205      
JC+I            | 1               | -9771.684       | 19545.373        | 19545.367       | 19549.896      
GTR+X           | 8               | -10190.416      | 20397.045        | 20396.832       | 20433.066      
GTR             | 8               | -10197.592      | 20411.396        | 20411.184       | 20447.418      
SYM             | 5               | -10223.439      | 20456.967        | 20456.879       | 20479.525      
TRN+X           | 5               | -10229.978      | 20470.043        | 20469.955       | 20492.602      
TRN             | 5               | -10231.261      | 20472.61         | 20472.521       | 20495.168      
TRNEF           | 2               | -10256.706      | 20517.43         | 20517.412       | 20526.47       
HKY+X           | 4               | -10273.092      | 20554.242        | 20554.184       | 20572.3        
K80             | 1               | -10283.448      | 20568.902        | 20568.896       | 20573.426      
HKY             | 4               | -10330.636      | 20669.33         | 20669.271       | 20687.389      
JC              | 0               | -10843.913      | 21687.826        | 21687.826       | 21687.826      
